#node1,node2
HLA-DOA,HLA-DQA1
HLA-DOA,HLA-DQA2
HLA-DOA,HLA-DQB2
HLA-DOA,HLA-DRB5
HLA-DOA,HLA-DQB1
HLA-DOA,HLA-DRB1
HLA-DOA,HLA-DRA
HLA-DOA,HLA-DPA1
HLA-DOA,HLA-DPB1
HLA-DPA1,IL10RA
HLA-DPA1,IRF8
HLA-DPA1,HLA-DQA1
HLA-DPA1,HLA-DRB1
HLA-DPA1,HLA-DQA2
HLA-DPA1,HLA-DQB1
HLA-DPA1,HLA-DRB5
HLA-DPA1,LGMN
HLA-DPA1,HLA-DRA
HLA-DPA1,HLA-DQB2
HLA-DPA1,HLA-DPB1
HLA-DPB1,HLA-DQA1
HLA-DPB1,HLA-DRB1
HLA-DPB1,HLA-DQA2
HLA-DPB1,HLA-DQB1
HLA-DPB1,HLA-DRB5
HLA-DPB1,LGMN
HLA-DPB1,HLA-DRA
HLA-DPB1,MDK
HLA-DPB1,HLA-DQB2
HLA-DQA1,LGMN
HLA-DQA1,HLA-DQA2
HLA-DQA1,HLA-DRA
HLA-DQA1,HLA-DQB2
HLA-DQA1,HLA-DRB5
HLA-DQA1,HLA-DRB1
HLA-DQA1,HLA-DQB1
HLA-DQA2,TNFRSF21
HLA-DQA2,HLA-DRB1
HLA-DQA2,LGMN
HLA-DQA2,HLA-DRA
HLA-DQA2,HLA-DRB5
HLA-DQA2,HLA-DQB2
HLA-DQA2,HLA-DQB1
HLA-DQB1,HLA-DRB1
HLA-DQB1,LGMN
HLA-DQB1,HLA-DQB2
HLA-DQB1,HLA-DRB5
HLA-DQB1,HLA-DRA
HLA-DQB2,HLA-DRB1
HLA-DQB2,HLA-DRB5
HLA-DQB2,LGMN
HLA-DQB2,HLA-DRA
HLA-DRA,IL10RA
HLA-DRA,IRF8
HLA-DRA,LILRA4
HLA-DRA,ISG20
HLA-DRA,TPSAB1
HLA-DRA,HLA-DRB1
HLA-DRA,HLA-DRB5
HLA-DRA,LILRB4
HLA-DRA,LGMN
HLA-DRB1,IRF8
HLA-DRB1,ISG20
HLA-DRB1,LGMN
HLA-DRB1,IL2RA
HLA-DRB1,HLA-DRB5
HLA-DRB5,LGMN
HMGA2,TWIST1
HMGA2,VCAN
HMGA2,SMAD1
HMGA2,KRT8
HOXA11,PTGER3
HOXA11,MMP2
HOXB7,HOXB8
HOXB7,NR5A2
HOXB7,HOXB9
HOXB8,SLITRK5
HOXB8,HOXB9
HOXB9,RBPMS
IFI44L,ISG20
IFI44L,PPP1R26
IFI44L,IFITM3
IFI44L,MX1
IFITM3,IRF8
IFITM3,ISG20
IFITM3,MX1
